r_b1b2 = 3497 mm  at t = 2661270 ms, current time = 2.37
r_a1a2 = 3549 mm  at t = 5584107 ms, current time = 2.436
r_b1a2 = 2519 mm  at t = 2661353 ms, current time = 2.453
r_a1b2 = 4476 mm  at t = 5584140 ms, current time = 2.469
r_b1b2 = 3493 mm  at t = 2661386 ms, current time = 2.485
r_a1a2 = 3530 mm  at t = 5584222 ms, current time = 2.551
r_b1a2 = 2453 mm  at t = 2661468 ms, current time = 2.567
r_a1b2 = 4541 mm  at t = 5584254 ms, current time = 2.583
r_b1b2 = 3530 mm  at t = 2661500 ms, current time = 2.599
r_a1a2 = 3539 mm  at t = 5584336 ms, current time = 2.666
r_b1a2 = 2524 mm  at t = 2661583 ms, current time = 2.682
r_a1b2 = 4550 mm  at t = 5584369 ms, current time = 2.698
r_b1b2 = 3502 mm  at t = 2661615 ms, current time = 2.714
r_a1a2 = 3535 mm  at t = 5584451 ms, current time = 2.78
r_b1a2 = 2500 mm  at t = 2661697 ms, current time = 2.796
r_a1b2 = 4560 mm  at t = 5584484 ms, current time = 2.813
r_b1b2 = 3516 mm  at t = 2661729 ms, current time = 2.83
r_a1a2 = 3516 mm  at t = 5584567 ms, current time = 2.897
r_b1a2 = 2486 mm  at t = 2661814 ms, current time = 2.913
r_a1b2 = 4541 mm  at t = 5584600 ms, current time = 2.93
r_b1b2 = 3488 mm  at t = 2661846 ms, current time = 2.947
r_a1a2 = 3516 mm  at t = 5584684 ms, current time = 3.013
r_b1a2 = 2467 mm  at t = 2661930 ms, current time = 3.029
r_a1b2 = 4527 mm  at t = 5584716 ms, current time = 3.046
r_b1b2 = 3488 mm  at t = 2661963 ms, current time = 3.062
r_a1a2 = 3502 mm  at t = 5584799 ms, current time = 3.129
r_b1a2 = 2500 mm  at t = 2662046 ms, current time = 3.146
r_a1b2 = 4518 mm  at t = 5584832 ms, current time = 3.162
r_b1b2 = 3483 mm  at t = 2662078 ms, current time = 3.178
r_a1a2 = 3502 mm  at t = 5584914 ms, current time = 3.244
r_b1a2 = 2547 mm  at t = 2662161 ms, current time = 3.261
r_a1b2 = 4499 mm  at t = 5584947 ms, current time = 3.277
r_b1b2 = 3539 mm  at t = 2662193 ms, current time = 3.294
r_a1a2 = 3548 mm  at t = 5585030 ms, current time = 3.36
r_b1a2 = 2575 mm  at t = 2662277 ms, current time = 3.377
r_a1b2 = 4490 mm  at t = 5585063 ms, current time = 3.393
r_b1b2 = 3530 mm  at t = 2662309 ms, current time = 3.409
r_a1a2 = 3511 mm  at t = 5585146 ms, current time = 3.476
r_b1a2 = 2495 mm  at t = 2662392 ms, current time = 3.493
r_a1b2 = 4509 mm  at t = 5585180 ms, current time = 3.51
r_b1b2 = 3493 mm  at t = 2662426 ms, current time = 3.526
r_a1a2 = 3474 mm  at t = 5585263 ms, current time = 3.593
r_b1a2 = 2538 mm  at t = 2662509 ms, current time = 3.609
